End of Run Costs
MLam	STLam
10.16	10.38
8.88	9.16
9.24	9.16
8.84	10.16
10.16	9.38
8.72	10.16
10.260000000000002	8.72
9.940000000000001	8.940000000000001
7.980000000000001	8.940000000000001
8.22	10.440000000000001
10.38	10.600000000000001
8.98	10.38
10.48	10.16
10.600000000000001	9.38
10.02	10.600000000000001
9.440000000000001	9.24
9.940000000000001	10.16
9.74	10.38
10.16	10.4
10.16	10.38
9.38	10.38
9.72	10.600000000000001
10.38	9.780000000000001
10.38	10.32
9.940000000000001	11.020000000000001
8.940000000000001	9.72
9.0	11.16
10.600000000000001	10.38
10.9	11.260000000000002
9.680000000000001	10.38
8.200000000000001	10.16
8.5	10.24
9.280000000000001	11.520000000000001
10.16	10.600000000000001
9.900000000000002	9.16
9.84	10.600000000000001
10.56	10.38
10.420000000000002	8.700000000000001
8.52	10.080000000000002
10.38	10.440000000000001
10.38	10.38
10.38	9.16
10.360000000000001	10.38
9.38	9.16
10.38	9.16
10.280000000000001	10.600000000000001
10.24	10.38
10.32	10.360000000000001
10.38	9.16
8.280000000000001	9.72
9.32	9.88
10.18	8.8
9.040000000000001	10.16
9.260000000000002	10.38
10.600000000000001	7.980000000000001
10.32	9.38
8.84	10.66
10.38	10.18
10.32	10.38
10.540000000000001	9.16
10.46	10.38
10.38	10.600000000000001
10.38	9.920000000000002
10.38	10.4
10.38	10.38
9.16	8.8
10.9	10.38
10.38	10.16
10.18	10.080000000000002
10.4	10.16
9.16	10.600000000000001
10.5	10.38
9.740000000000002	10.38
10.600000000000001	10.38
8.280000000000001	8.64
9.8	9.38
10.56	10.16
10.200000000000001	8.940000000000001
10.38	10.38
8.96	9.080000000000002
9.100000000000001	10.38
9.16	10.18
8.420000000000002	10.4
8.98	10.38
10.38	10.38
10.16	9.16
10.200000000000001	10.38
10.360000000000001	10.46
10.16	9.32
10.9	9.16
8.64	10.38
9.080000000000002	10.16
9.14	10.3
10.22	9.260000000000002
10.0	10.16
8.74	10.06
8.940000000000001	9.16
10.100000000000001	8.72
10.16	10.420000000000002
8.940000000000001	10.06
Acceptance Rate
0.98	1.0
0.92	0.69
0.79	0.71
0.69	0.82
0.71	0.72
0.63	0.56
0.58	0.54
0.53	0.55
0.53	0.52
0.47	0.62
0.5	0.55
0.54	0.46
0.59	0.45
0.46	0.44
0.54	0.5
0.44	0.57
0.46	0.38
0.54	0.5
0.42	0.48
0.49	0.45
0.47	0.42
0.43	0.46
0.45	0.47
0.44	0.5
0.52	0.44
0.5	0.5
0.38	0.53
0.41	0.44
0.56	0.48
0.41	0.47
0.47	0.56
0.49	0.49
0.41	0.55
0.37	0.46
0.37	0.55
0.39	0.43
0.48	0.39
0.5	0.49
0.5	0.42
0.47	0.49
0.5	0.51
0.51	0.46
0.49	0.38
0.49	0.43
0.46	0.46
0.33	0.46
0.46	0.43
0.46	0.48
0.49	0.53
0.41	0.39
0.41	0.55
0.52	0.53
0.42	0.43
0.39	0.49
0.5	0.36
0.45	0.5
0.53	0.47
0.48	0.41
0.5	0.58
0.5	0.5
0.37	0.47
0.47	0.4
0.54	0.46
0.52	0.51
0.53	0.43
0.44	0.45
0.49	0.39
0.46	0.56
0.48	0.41
0.44	0.51
0.44	0.51
0.56	0.44
0.56	0.57
0.52	0.38
0.51	0.5
0.4	0.48
0.48	0.43
0.55	0.46
0.49	0.49
0.42	0.45
0.52	0.5
0.46	0.44
0.5	0.48
0.49	0.43
0.4	0.43
0.47	0.5
0.48	0.44
0.45	0.38
0.48	0.43
0.42	0.54
0.41	0.45
0.43	0.55
0.45	0.44
0.41	0.44
0.52	0.53
0.43	0.49
0.45	0.62
0.47	0.49
0.47	0.53
0.52	0.37
0.47	0.51
0.5	0.42
0.44	0.54
0.42	0.44
0.5	0.45
0.55	0.43
0.43	0.44
0.44	0.56
0.51	0.52
0.41	0.46
0.5	0.5
0.56	0.49
0.43	0.47
0.5	0.5
0.44	0.41
0.45	0.47
0.52	0.5
0.56	0.46
0.47	0.47
0.46	0.49
0.49	0.38
0.48	0.39
0.49	0.39
0.46	0.52
0.45	0.44
0.5	0.32
0.4	0.47
0.47	0.48
0.44	0.5
0.52	0.5
0.43	0.51
0.46	0.52
0.59	0.49
0.48	0.52
0.4	0.41
0.51	0.46
0.48	0.51
0.4	0.35
0.47	0.46
0.44	0.55
0.42	0.42
0.48	0.42
0.57	0.5
0.45	0.48
0.43	0.42
0.39	0.5
0.47	0.52
0.43	0.46
0.44	0.42
0.49	0.42
0.47	0.5
0.4	0.46
0.48	0.49
0.37	0.48
0.43	0.42
0.49	0.45
0.44	0.44
0.5	0.53
0.56	0.51
0.55	0.48
0.51	0.47
0.48	0.49
0.44	0.48
0.45	0.4
0.39	0.51
0.54	0.46
0.51	0.46
0.49	0.53
0.5	0.4
0.51	0.44
0.42	0.45
0.41	0.43
0.39	0.47
0.46	0.51
0.52	0.5
0.46	0.53
0.55	0.47
0.5	0.42
0.48	0.41
0.48	0.51
0.44	0.44
0.42	0.53
0.44	0.53
0.47	0.44
0.43	0.56
0.48	0.44
0.44	0.48
0.52	0.37
0.45	0.42
0.48	0.47
0.43	0.54
0.59	0.49
0.54	0.52
0.46	0.46
0.44	0.47
0.5	0.48
0.47	0.44
0.44	0.47
0.46	0.47
0.42	0.44
0.51	0.54
