End of Run Costs
MLam	STLam
7	1
4	2
4	6
5	2
7	3
7	2
8	0
2	2
8	3
3	0
5	6
4	1
6	2
8	5
4	2
2	4
5	5
4	2
8	6
9	3
8	3
3	3
5	4
10	4
3	3
7	2
3	6
6	2
6	5
0	0
7	4
3	4
8	4
4	1
3	2
7	4
2	2
4	4
3	4
9	4
2	3
7	5
4	1
8	2
3	1
5	6
3	2
7	6
6	3
4	6
1	0
4	3
4	2
7	1
8	4
4	1
3	3
6	3
4	3
7	2
1	4
1	4
7	6
6	4
5	3
7	6
3	3
4	2
5	3
3	4
2	3
4	3
3	3
3	3
5	4
3	3
6	5
1	6
8	6
4	2
3	4
3	5
6	5
9	3
8	3
3	4
6	4
4	1
6	2
3	4
5	4
8	3
10	4
6	1
5	1
8	5
9	4
5	5
5	4
3	2
Acceptance Rate
0.58	1.0
0.58	0.77
0.69	0.77
0.57	0.64
0.6	0.51
0.51	0.65
0.54	0.57
0.62	0.48
0.41	0.57
0.48	0.56
0.53	0.46
0.45	0.45
0.5	0.5
0.42	0.5
0.39	0.51
0.39	0.47
0.38	0.49
0.38	0.43
0.33	0.48
0.28	0.4
0.32	0.43
0.36	0.42
0.32	0.39
0.34	0.37
0.44	0.49
0.37	0.4
0.36	0.35
0.38	0.47
0.37	0.38
0.4	0.41
0.42	0.55
0.39	0.42
0.45	0.43
0.51	0.46
0.39	0.38
0.47	0.46
0.52	0.4
0.46	0.44
0.42	0.5
0.46	0.35
0.47	0.45
0.43	0.43
0.54	0.48
0.49	0.48
0.42	0.39
0.48	0.37
0.38	0.39
0.31	0.51
0.44	0.48
0.39	0.39
0.44	0.48
0.43	0.45
0.42	0.5
0.41	0.51
0.42	0.47
0.36	0.4
0.39	0.45
0.39	0.46
0.46	0.46
0.34	0.45
0.39	0.45
0.5	0.47
0.44	0.46
0.5	0.37
0.44	0.4
0.44	0.4
0.4	0.37
0.41	0.41
0.49	0.44
0.48	0.4
0.52	0.4
0.43	0.4
0.45	0.45
0.44	0.39
0.48	0.45
0.42	0.5
0.45	0.43
0.48	0.39
0.4	0.57
0.4	0.4
0.45	0.4
0.4	0.44
0.56	0.44
0.45	0.39
0.52	0.46
0.44	0.38
0.43	0.35
0.43	0.47
0.47	0.43
0.44	0.4
0.5	0.39
0.39	0.47
0.39	0.38
0.49	0.4
0.42	0.47
0.42	0.43
0.36	0.39
0.4	0.47
0.48	0.47
0.41	0.39
0.48	0.5
0.47	0.53
0.43	0.44
0.39	0.46
0.41	0.37
0.49	0.5
0.49	0.51
0.45	0.4
0.37	0.53
0.49	0.46
0.52	0.51
0.42	0.39
0.44	0.35
0.38	0.31
0.45	0.39
0.47	0.38
0.42	0.47
0.47	0.4
0.54	0.49
0.39	0.41
0.41	0.49
0.4	0.42
0.37	0.39
0.47	0.38
0.45	0.47
0.4	0.42
0.43	0.47
0.35	0.42
0.43	0.5
0.48	0.4
0.37	0.45
0.48	0.36
0.45	0.28
0.4	0.25
0.29	0.29
0.35	0.19
0.37	0.25
0.34	0.32
0.35	0.18
0.27	0.19
0.23	0.18
0.35	0.16
0.28	0.14
0.19	0.14
0.18	0.14
0.22	0.11
0.19	0.09
0.23	0.09
0.28	0.08
0.18	0.08
0.19	0.15
0.2	0.11
0.14	0.09
0.12	0.07
0.14	0.06
0.12	0.05
0.08	0.08
0.09	0.06
0.07	0.05
0.08	0.08
0.09	0.04
0.05	0.01
0.06	0.05
0.07	0.06
0.06	0.03
0.1	0.06
0.09	0.05
0.04	0.02
0.04	0.01
0.03	0.02
0.05	0.02
0.03	0.01
0.04	0.03
0.04	0.01
0.02	0.01
0.02	0.01
0.02	0.01
0.01	0.03
0.02	0.03
0.02	0.01
0.01	0.0
0.03	0.03
0.02	0.02
0.01	0.0
0.01	0.02
0.01	0.02
0.03	0.0
0.02	0.01
0.02	0.02
0.0	0.01
0.0	0.0
0.01	0.01
0.01	0.0
0.0	0.010101010101010102
0.02	0.0
0.0	0.02040816326530612
0.0	0.01020408163265306
0.0	0.0
0.0	0.0
0.010101010101010102	0.0
0.010101010101010102	0.0
