End of Run Costs
MLam	STLam
-869.0111349893242	-869.011134989337
-869.0111349587588	-869.0111349451224
-869.0111349893633	-869.0111349757653
-869.0111349886517	-869.0111349843236
-869.011134979952	-869.0111349894852
-869.0111349436785	-869.011134983055
-869.0111349892658	-869.0111349894987
-869.0111349796559	-869.0111349346168
-869.0111349706613	-869.0111349878445
-869.0111349619658	-869.0111349833842
-869.0111349893342	-869.0111349894984
-869.0111349873663	-869.0111349894208
-869.0111349851412	-869.0111349881579
-869.0111349687974	-869.0111349747069
-869.011134989495	-869.0111349894977
-869.0111348728815	-869.0111349878058
-869.0111349883504	-869.0111349875101
-869.011134976516	-869.0111349833834
-869.0111349857095	-869.0111349893774
-869.0111349869311	-869.0111349770656
-869.0111349826849	-869.0111349880353
-869.0111349748377	-869.0111349747875
-869.0111349673775	-869.0111349864918
-869.0111349748047	-869.0111349860036
-869.0111349866268	-869.0111349869007
-869.0111349437833	-869.0111349596812
-869.0111349830128	-869.0111349891074
-869.0111349889493	-869.011134962298
-869.0111349616442	-869.0111349533779
-869.0111349581168	-869.0111349891866
-869.0111349872285	-869.0111349755974
-869.0111349200271	-869.0111349882494
-869.0111349631419	-869.0111349762716
-869.0111349894145	-869.0111349775772
-869.0111349876306	-869.0111349816541
-869.0111349826277	-869.0111349315839
-869.0111349852973	-869.011134972456
-869.0111349803464	-869.0111349687139
-869.0111349862249	-869.0111349838395
-869.0111349894653	-869.0111349853049
-869.0111349892812	-869.0111349861633
-869.0111349887724	-869.0111349872215
-869.0111349850171	-869.0111349878932
-869.0111348129769	-869.0111349643511
-869.0111349806127	-869.0111349778788
-869.0111349869354	-869.0111349857144
-869.011134961753	-869.0111349894987
-869.01113498634	-869.0111349865957
-869.0111349720333	-869.0111349764591
-869.0111349570119	-869.0111349135835
-869.0111349878993	-869.0111349867915
-869.0111349893767	-869.011134989252
-869.0111347692094	-869.0111349786466
-869.0111349771706	-869.0111349891748
-869.01113498238	-869.0111349878277
-869.0111349890907	-869.0111349889844
-869.0111349668196	-869.0111349870722
-869.0111349852974	-869.0111349886291
-869.0111349862827	-869.0111349890255
-869.0111349893831	-869.0111349878763
-869.0111349247588	-869.0111349882708
-869.011134981601	-869.0111349891466
-869.0111349812586	-869.011134983443
-869.0111349562001	-869.0111349894983
-869.0111349700701	-869.0111349772764
-869.0111349894524	-869.0111349591511
-869.0111349441235	-869.0111349878706
-869.0111349776251	-869.0111349880791
-869.0111347497837	-869.011134988862
-869.0111349426857	-869.0111349894405
-869.0111349553317	-869.0111349719601
-869.0111349878348	-869.0111349828242
-869.0111349799748	-869.0111349884287
-869.0111349846194	-869.0111349877238
-869.0111349869841	-869.0111349730249
-869.0111348409039	-869.0111348648264
-869.0111349811048	-869.0111349893684
-869.0111349837609	-869.011134988867
-869.0111349894144	-869.0111349083314
-869.0111349846976	-869.0111349467013
-869.0111349886331	-869.0111349881383
-869.0111349683145	-869.01113498942
-869.011134988023	-869.0111349877579
-869.0111349860134	-869.0111349894073
-869.0111349523038	-869.0111349884448
-869.0111349893142	-869.0111349882135
-869.0111349890371	-869.0111349888613
-869.0111349666772	-869.0111349253699
-869.0111349884821	-869.0111349891777
-869.0111349878919	-869.0111349887974
-869.0111349889569	-869.0111349834356
-869.0111349882943	-869.0111349808851
-869.0111349892155	-869.011134916734
-869.0111349850355	-869.0111349827702
-869.0111349894992	-869.011134988056
-869.011134986007	-869.0111349877507
-869.0111349550646	-869.0111348887598
-869.0111349888122	-869.0111349894731
-869.0111349893434	-869.0111349872818
-869.0111349820805	-869.0111349894814
Acceptance Rate
0.53	1.0
0.39	0.66
0.75	0.75
0.76	0.66
0.65	0.59
0.6	0.52
