End of Run Costs
MLam	STLam
90	54
108	108
90	36
18	72
126	54
18	72
90	108
126	18
36	54
144	54
18	54
54	36
72	36
126	162
144	18
72	54
90	0
126	54
54	54
36	54
180	54
72	54
36	90
90	108
108	72
72	18
126	18
72	72
18	36
144	108
72	54
90	36
108	54
72	36
54	36
108	36
144	108
72	72
54	54
90	36
72	72
36	72
36	90
36	36
18	72
180	54
180	36
72	54
108	36
162	54
54	36
180	90
126	18
90	54
90	36
162	36
126	54
72	72
126	90
162	90
54	72
108	108
108	144
18	72
36	72
54	54
54	36
18	36
90	36
54	36
162	36
54	72
126	54
54	90
54	36
54	18
0	90
72	54
144	72
54	36
54	72
54	36
54	54
126	36
72	36
108	36
36	72
0	90
90	0
144	54
90	90
36	36
54	90
90	54
144	72
90	108
72	54
90	18
36	54
108	108
Acceptance Rate
0.53	1.0
0.45	0.7
0.52	0.78
0.44	0.63
0.39	0.6
0.41	0.57
0.46	0.53
0.28	0.48
0.23	0.46
0.28	0.42
0.32	0.43
0.2	0.49
0.25	0.52
0.3	0.42
0.19	0.4
0.22	0.49
0.13	0.51
0.21	0.43
0.15	0.46
0.17	0.5
0.24	0.4
0.09	0.56
0.13	0.49
0.12	0.45
0.14	0.52
0.11	0.49
0.14	0.46
0.08	0.48
0.09	0.45
0.09	0.46
0.08	0.37
0.05	0.54
0.06	0.45
0.06	0.46
0.06	0.48
0.05	0.38
0.07	0.49
0.1	0.42
0.04	0.57
0.04	0.47
0.03	0.44
0.09	0.49
0.07	0.49
0.05	0.46
0.08	0.37
0.05	0.4
0.04	0.43
0.09	0.42
0.07	0.45
0.11	0.51
0.11	0.43
0.08	0.51
0.14	0.55
0.14	0.31
0.14	0.39
0.14	0.45
0.09	0.5
0.23	0.35
0.21	0.57
0.17	0.53
0.17	0.49
0.3	0.43
0.28	0.44
0.35	0.42
0.35	0.54
0.4	0.39
0.3	0.43
0.41	0.43
0.37	0.43
0.4	0.35
0.46	0.46
0.34	0.4
0.41	0.41
0.51	0.38
0.47	0.44
0.5	0.37
0.57	0.43
0.61	0.37
0.64	0.43
0.49	0.39
0.61	0.51
0.59	0.38
0.68	0.44
0.52	0.42
0.55	0.41
0.5	0.4
0.5	0.43
0.56	0.48
0.6	0.47
0.54	0.41
0.52	0.43
0.57	0.44
0.48	0.44
0.52	0.44
0.5	0.46
0.34	0.44
0.36	0.46
0.47	0.49
0.39	0.47
0.39	0.42
0.31	0.41
0.4	0.41
0.35	0.43
0.31	0.46
0.28	0.45
0.36	0.39
0.42	0.44
0.34	0.49
0.38	0.44
0.39	0.44
0.52	0.39
0.34	0.5
0.52	0.44
0.38	0.48
0.49	0.42
0.49	0.49
0.44	0.49
0.46	0.38
0.48	0.42
0.4	0.44
0.57	0.46
0.45	0.41
0.47	0.41
0.56	0.49
0.5	0.36
0.51	0.44
0.35	0.45
0.47	0.44
0.47	0.48
0.37	0.4
0.51	0.49
0.47	0.32
0.41	0.43
0.35	0.36
0.35	0.25
0.41	0.27
0.34	0.22
0.34	0.24
0.39	0.13
0.29	0.15
0.3	0.22
0.29	0.14
0.31	0.14
0.24	0.19
0.29	0.15
0.22	0.09
0.19	0.07
0.15	0.13
0.12	0.12
0.18	0.05
0.14	0.11
0.18	0.13
0.13	0.07
0.12	0.1
0.18	0.01
0.09	0.08
0.08	0.05
0.11	0.02
0.11	0.05
0.04	0.04
0.13	0.05
0.14	0.05
0.05	0.03
0.06	0.06
0.1	0.04
0.03	0.03
0.05	0.03
0.08	0.04
0.06	0.07
0.06	0.0
0.05	0.03
0.03	0.01
0.03	0.05
0.06	0.0
0.04	0.03
0.0	0.0
0.03	0.02
0.0	0.01
0.06	0.02
0.02	0.01
0.05	0.02
0.03	0.01
0.03	0.0
0.01	0.02
0.01	0.0
0.02	0.01
0.0	0.01
0.01	0.02
0.03	0.01
0.0	0.0
0.02	0.01
0.01	0.01
0.0	0.010101010101010102
0.010101010101010102	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.01020408163265306	0.01020408163265306
0.0	0.0
0.0	0.0
0.0	0.0
