      L	        cpu1	        cpu2
 512000	 24687500.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24843750.00	 25468750.00
 512000	 24687500.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24843750.00	 25468750.00
 512000	 24687500.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24843750.00	 25468750.00
 512000	 24843750.00	 25625000.00
 512000	 24531250.00	 25781250.00
 512000	 24843750.00	 25468750.00
 512000	 24531250.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24843750.00	 25468750.00
 512000	 24687500.00	 25625000.00
 512000	 24687500.00	 25468750.00
 512000	 24843750.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24843750.00	 25625000.00
 512000	 24687500.00	 25468750.00
 512000	 24687500.00	 25625000.00
 512000	 24843750.00	 25468750.00
 512000	 24843750.00	 25625000.00
 512000	 24843750.00	 25625000.00
 512000	 24687500.00	 25468750.00
 512000	 24843750.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24687500.00	 25625000.00
 512000	 24843750.00	 27500000.00
 512000	 25156250.00	 25937500.00
 512000	 25781250.00	 28593750.00
 512000	 25468750.00	 25781250.00
 512000	 24843750.00	 25625000.00
 512000	 25468750.00	 26093750.00
 512000	 25468750.00	 25625000.00
 512000	 24843750.00	 25625000.00
 512000	 24531250.00	 27812500.00
 512000	 25468750.00	 25625000.00
 512000	 25000000.00	 25625000.00
 512000	 24843750.00	 25468750.00
 512000	 24843750.00	 25468750.00
 512000	 24843750.00	 25625000.00
 512000	 24843750.00	 26093750.00
 512000	 24843750.00	 25625000.00
1024000	 96406250.00	 51250000.00
1024000	 96562500.00	 50937500.00
1024000	 96406250.00	 51093750.00
1024000	 96406250.00	 51250000.00
1024000	 96093750.00	 51093750.00
1024000	 96406250.00	 51250000.00
1024000	 96250000.00	 51250000.00
1024000	 96406250.00	 51250000.00
1024000	 96093750.00	 51250000.00
1024000	 96250000.00	 51250000.00
1024000	 96250000.00	 51093750.00
1024000	 96406250.00	 51250000.00
1024000	 96093750.00	 51250000.00
1024000	 96406250.00	 51406250.00
1024000	 96718750.00	 51093750.00
1024000	 96562500.00	 51250000.00
1024000	 96406250.00	 51250000.00
1024000	 96562500.00	 51250000.00
1024000	 96562500.00	 51093750.00
1024000	 96406250.00	 51250000.00
1024000	 96406250.00	 51250000.00
1024000	 96406250.00	 51250000.00
1024000	 97656250.00	 54843750.00
1024000	 98125000.00	 52500000.00
1024000	 95781250.00	 51250000.00
1024000	 96875000.00	 51250000.00
1024000	 96406250.00	 51250000.00
1024000	 96250000.00	 51250000.00
1024000	 97812500.00	 51406250.00
1024000	 96250000.00	 51406250.00
1024000	 96250000.00	 51250000.00
1024000	 96406250.00	 51093750.00
1024000	 96406250.00	 50937500.00
1024000	 96250000.00	 51250000.00
1024000	 96406250.00	 51250000.00
1024000	 96250000.00	 51250000.00
1024000	 96562500.00	 51093750.00
1024000	 96250000.00	 51250000.00
1024000	 96093750.00	 51406250.00
1024000	 96250000.00	 51406250.00
1024000	 96406250.00	 51093750.00
1024000	 96250000.00	 51093750.00
1024000	 96250000.00	 51250000.00
1024000	 96250000.00	 51250000.00
1024000	 96093750.00	 51250000.00
1024000	 96562500.00	 52187500.00
1024000	 97812500.00	 51093750.00
1024000	 97031250.00	 51406250.00
1024000	 96406250.00	 51093750.00
1024000	 96250000.00	 51250000.00
1024000	 96093750.00	 51250000.00
1024000	 96250000.00	 51093750.00
1024000	 96093750.00	 51093750.00
1024000	 96250000.00	 51250000.00
1024000	 96093750.00	 51093750.00
1024000	 96093750.00	 51250000.00
1024000	 96093750.00	 51093750.00
1024000	 96406250.00	 51250000.00
1024000	 96250000.00	 51093750.00
1024000	 96406250.00	 51562500.00
1024000	 96093750.00	 51250000.00
1024000	 96250000.00	 51093750.00
1024000	 96093750.00	 51093750.00
1024000	 96250000.00	 51093750.00
1024000	 96250000.00	 51093750.00
1024000	 96093750.00	 51093750.00
1024000	 96250000.00	 51250000.00
1024000	 96406250.00	 51250000.00
1024000	 96093750.00	 51718750.00
1024000	 96250000.00	 51093750.00
1024000	 96250000.00	 51093750.00
1024000	 96093750.00	 50937500.00
1024000	 96093750.00	 51250000.00
1024000	 96250000.00	 51250000.00
1024000	 95781250.00	 51093750.00
1024000	 96093750.00	 51093750.00
1024000	 97187500.00	 51250000.00
1024000	 96250000.00	 51250000.00
1024000	 96093750.00	 51093750.00
1024000	 96250000.00	 51093750.00
1024000	 96406250.00	 50937500.00
1024000	 96093750.00	 51093750.00
1024000	 96093750.00	 51250000.00
1024000	 96093750.00	 51250000.00
1024000	 96718750.00	 51093750.00
1024000	 99218750.00	 51875000.00
1024000	100156250.00	 51093750.00
1024000	 96718750.00	 51250000.00
1024000	 96718750.00	 51875000.00
1024000	 96875000.00	 51875000.00
1024000	 97812500.00	 51718750.00
1024000	 97500000.00	 51562500.00
1024000	 98750000.00	 51250000.00
1024000	 97500000.00	 51406250.00
1024000	 96093750.00	 51093750.00
1024000	 96562500.00	 50937500.00
1024000	 96250000.00	 50937500.00
1024000	 96250000.00	 51093750.00
1024000	 95937500.00	 51250000.00
1024000	 96093750.00	 51406250.00
Experiment finished: -4.355304E7
