End of Run Costs
MLam	STLam
-9.863254059536208	-60.2073793490819
-9.86324352051617	-60.20732337248802
-9.86324947368152	-9.863251223196114
-9.863244414162242	-9.863242732223036
-60.20739265464327	-9.863253836470212
-60.20733982198239	-9.86323080068075
-60.20731486860835	-9.863249691117343
-9.863252330709438	-60.207399916871424
-9.863254033071625	-9.86321352941563
-60.20739632016933	-9.863253347855132
-60.207394095964275	-60.207399848467766
-60.20738669484527	-9.863254026554959
-9.863252064336459	-9.863250615916177
-60.20740046209628	-60.20726850491313
-9.863253155090067	-60.20730233754597
-60.20738701785179	-60.20723360171415
-9.863242396346415	-9.863243506250988
-9.863251939329947	-9.863254060474421
-9.863248948373432	-9.863251280559007
-9.863253994448334	-60.20739892119869
-60.207388186280795	-9.863251615836035
-9.8632482018646	-9.863213054545549
-60.207380275283775	-60.2073992244106
-60.20736079293603	-9.863249263103546
-60.20740028299863	-9.863249319938111
-9.863253838550094	-60.207372809355284
-60.20738452487244	-9.863241693611975
-60.20740047710856	-9.863250729407076
-9.863249531620099	-9.863225083332745
-60.20739770528657	-9.863251150916266
-9.86323520489979	-60.207398423763856
-9.863246584207612	-9.863251581633781
-60.20739912831325	-9.86321680989058
-60.20724907211306	-60.20739686230327
-9.863254063093933	-9.863253379065753
-60.20736557145153	-9.863244660939689
-9.863252888348748	-9.863254058993867
-9.863254058952554	-9.863253720196374
-9.863251762796363	-9.863254060446607
-9.863252708491245	-60.20736706736383
-9.863240435138058	-9.863211048384542
-60.207156614712424	-60.20740055698654
-9.863253718555711	-60.207289852329744
-60.20735243433833	-9.86321259458508
-9.863244176563132	-60.20733531305038
-9.863251752617884	-9.863246162078875
-60.20733787908157	-9.863250589346439
-60.207153044645494	-60.20739914982837
-60.207397980534935	-9.863252443686298
-9.863252611358378	-60.20739995169088
-9.86325362616535	-60.207270461078735
-60.20739777027528	-9.863248737264174
-60.20723417942535	-9.863253783513132
-60.20735738627284	-9.863253829782812
-60.20736835908329	-60.20724572589287
-9.863253464584655	-9.8632464482659
-60.20739551571533	-60.20737813087861
-9.863247425592093	-9.863253806464837
-9.863235245438936	-60.207399678763736
-60.207398213791734	-60.20739885770924
-9.863173831082573	-9.863248854279817
-60.2073780701689	-59.97921307362959
-60.20735784878162	-60.20733926199938
-9.863240457667105	-60.20739820184454
-9.863254062139754	-9.863075206527075
-60.207400396111595	-60.2073930515627
-60.20734186742275	-60.20737083383156
-9.863241801038544	-60.20726976484275
-9.863235646038248	-9.86322742603208
-9.863253510687887	-9.863254015123024
-9.863251384911884	-60.09382979980886
-9.863038269556908	-9.863216562958279
-9.863244194988736	-9.863253532891738
-60.20727052044095	-60.20739813712584
-9.863253752778602	-60.20728994111141
-60.20739625623239	-59.21444118342522
-9.86325389674919	-9.863252101415672
-9.863214592472048	-9.863254056158834
-9.863240138299396	-9.863253741140772
-60.20739583845015	-60.20739877762501
-60.20739258445907	-9.863221135555118
-60.20734297420758	-9.86324199775808
-9.863171218512395	-9.863254055581423
-60.20739591601728	-9.863253207164552
-9.863229667416828	-60.20731062421612
-9.863253991157015	-9.863245173938054
-9.863224197775969	-9.863253866822193
-60.207400066341634	-21.534203313877246
-60.207325353567015	-60.20739809917873
-60.207397089218134	-9.86320267689518
-9.863248101720005	-60.2068061626435
-60.20730988990814	-9.863252523585096
-60.207398698113046	-9.86322004034424
-9.863249129466693	-60.20740053566263
-9.863252673369745	-60.207342690532634
-9.863254049096845	-60.20739838789663
-9.86323800056319	-9.863237907127298
-60.207400547267156	-9.863203098403117
-60.207378442258836	-9.863249952597297
-60.207396367903314	-60.207397956711446
Acceptance Rate
0.63	1.0
0.41	1.0
0.42	1.0
0.25	0.78
0.27	0.76
0.25	0.68
0.29	0.68
0.26	0.68
0.25	0.55
0.28	0.58
0.26	0.51
0.26	0.57
0.16	0.51
0.27	0.52
0.27	0.56
0.26	0.46
0.17	0.44
0.22	0.52
0.31	0.4
0.24	0.43
0.19	0.46
0.23	0.45
0.27	0.45
0.31	0.5
0.26	0.47
0.22	0.39
0.31	0.46
0.2	0.43
0.28	0.55
0.25	0.38
0.3	0.38
0.36	0.43
0.26	0.42
0.29	0.48
0.18	0.44
0.24	0.45
0.29	0.47
0.28	0.49
0.24	0.4
0.28	0.5
0.27	0.43
0.28	0.42
0.23	0.49
0.27	0.41
0.25	0.43
0.3	0.53
0.3	0.43
0.24	0.43
0.25	0.45
0.26	0.46
0.2	0.44
0.29	0.5
0.2	0.39
0.24	0.42
0.27	0.48
0.23	0.52
0.22	0.49
0.26	0.38
0.24	0.44
0.23	0.42
0.25	0.47
0.21	0.51
0.19	0.45
0.31	0.4
0.23	0.36
0.25	0.36
0.2	0.44
0.26	0.5
0.29	0.45
0.34	0.43
0.26	0.38
0.19	0.46
0.29	0.47
0.3	0.47
0.25	0.46
0.26	0.54
0.28	0.45
0.3	0.46
0.3	0.45
0.26	0.34
0.33	0.51
0.27	0.47
0.27	0.44
0.22	0.49
0.29	0.43
0.32	0.49
0.29	0.37
0.29	0.43
0.22	0.45
0.24	0.47
0.29	0.49
0.2	0.54
0.28	0.46
0.19	0.49
0.33	0.5
0.35	0.45
0.23	0.39
0.29	0.46
0.24	0.38
0.32	0.42
0.29	0.44
0.28	0.41
0.26	0.51
0.21	0.44
0.29	0.5
0.29	0.42
0.21	0.51
0.23	0.55
0.34	0.44
0.28	0.36
0.29	0.46
0.19	0.48
0.3	0.42
0.29	0.47
0.26	0.54
0.27	0.42
0.37	0.46
0.28	0.44
0.29	0.52
0.33	0.39
0.3	0.49
0.31	0.53
0.25	0.45
0.35	0.41
0.3	0.45
0.31	0.48
0.27	0.49
0.3	0.37
0.27	0.49
0.33	0.46
0.28	0.42
0.35	0.42
0.27	0.47
0.35	0.44
0.23	0.41
0.24	0.38
0.27	0.36
0.36	0.3
0.33	0.27
0.32	0.15
0.31	0.3
0.37	0.23
0.32	0.19
0.29	0.24
0.34	0.2
0.23	0.13
0.3	0.21
0.25	0.24
0.27	0.2
0.33	0.21
0.33	0.12
0.32	0.16
0.26	0.09
0.31	0.16
0.23	0.12
0.32	0.11
0.26	0.1
0.27	0.07
0.32	0.1
0.24	0.09
0.33	0.07
0.25	0.12
0.28	0.09
0.25	0.09
0.37	0.06
0.18	0.06
0.28	0.09
0.22	0.08
0.25	0.09
0.31	0.05
0.32	0.05
0.32	0.09
0.31	0.08
0.21	0.06
0.21	0.06
0.31	0.05
0.25	0.03
0.41	0.07
0.23	0.05
0.29	0.03
0.22	0.06
0.32	0.06
0.25	0.02
0.24	0.09
0.27	0.03
0.29	0.11
0.25	0.04
0.25	0.02
0.31	0.05
0.27	0.0
0.23	0.03
0.23	0.03
0.25	0.01
0.16	0.01
0.24	0.02
0.28	0.03
0.26	0.06
0.29	0.03
0.3	0.04
0.27	0.03
0.25	0.03
